DATE;NOM;GENRE;HOMME;FEMME;AGE;AGE2;DOMICILE;ADRESSE;PERP;LIEU;MULTIPLE;BLESSÉS;ESPACE PUBLIC;LOCALISATION POST-MORTEM;CALCINÉS;CAUSE DU DÉCÈS;FUSILLADE;ATTACHÉ;TRACES DE TORTURE;MUTILATION;ENCOBIJADO/ENTEIPADO;MESSAGE;QUALIFICATION;ORIGINE DU DÉFUNT;COMMENTAIRE
02-Apr;1;1;1;0;0;;;;0;CALLEJÓN HORCASITAS, COL. EMPALME-NOGALES;0;0;1;2;1;0;0;0;0;0;0;0;0;;VOITURE IMMATRICULÉE EN ARIZONA
12-Apr;1;1;1;0;1;41;;;0;C. PRIVADA ESCOBAR Y PASEO CHULABISTA, COL. CHULAVISTA;1;0;1;1;0;0;0;1;1;1;1;0;0;VILLA JUAREZ, SONORA;ATTACHÉ PIEDS ET MAINS, VISAGE ENTEIPADO, COU TRANCHÉ ET RECOUSU
14-Apr;1;1;1;0;1;24;1;Col. Kennedy;0;GIMNASIO DOMINIC'S;0;0;0;0;0;1;1;0;0;0;0;0;1;COL. KENNEDY, CULIACÁN SINALOA;
14-Apr;1;1;1;0;0;;1;Col. Empalme-Nogales;0;AV. OBREGÓN ENTRE LUIS BASURTO Y JESÚS RAMIREZ, FRENTE A CAF. RENO;1;0;1;0;0;1;1;0;0;0;0;0;0;;
14-Apr;1;1;1;0;0;;;;0;AV. OBREGÓN ENTRE LUIS BASURTO Y JESÚS RAMIREZ, FRENTE A CAF. RENO;1;0;1;0;0;1;1;0;0;0;0;0;0;;
18-Apr;1;1;1;0;1;20;1;Phoenix Arizona;0;SALON TEXAS-NOGALES;0;0;0;0;0;1;1;0;0;0;0;0;1;;
20-Apr;1;1;1;0;1;17;;;0;C. REFORMA, COL. DEL ROSARIO;1;4;1;0;0;1;1;0;0;0;0;0;1;GUADALAJARA, JALISCO;
20-Apr;1;1;1;0;1;25;;;0;C. REFORMA, COL. DEL ROSARIO;1;;1;0;0;1;1;0;0;0;0;0;1;OAXACA;
22-Apr;0;0;0;0;0;;;;0;C. SIERRA SAN MARCOS, COL. CTS-CROC, COLINDANTE CON COL. COLINAS DEL SOL;1;0;1;3;0;0;0;0;0;0;0;0;0;;FOSSE COMMUNE, APPEL ANONYME AU 66, MORTS DEPUIS 8 MOIS
22-Apr;0;0;0;0;0;;;;0;C. SIERRA SAN MARCOS, COL. CTS-CROC, COLINDANTE CON COL. COLINAS DEL SOL;1;0;1;3;0;0;0;0;0;0;0;0;0;;FOSSE COMMUNE, APPEL ANONYME AU 66, MORTS DEPUIS 8 MOIS
